23:23:49 | DEBUG | src/main.rs:206 | logging initialized - "/tmp/trunk-1000/HmuGi9/log4rs.yaml"
23:23:49 | DEBUG | src/rules/pls_no_land.rs:46 | scanning 1 files for pls_no_land
23:23:49 | DEBUG | src/rules/if_change_then_change.rs:125 | scanning 1 files for if_change_then_change
23:23:49 | TRACE | src/rules/if_change_then_change.rs:55 | scanning contents of .trunk/trunk.yaml
23:23:49 | TRACE | src/rules/pls_no_land.rs:84 | scanning contents of .trunk/trunk.yaml
23:23:49 | TRACE | src/rules/never_edit.rs:28 | 'neveredit' is disabled
23:23:49 | DEBUG | src/main.rs:206 | logging initialized - "/tmp/trunk-1000/yoWHZd/log4rs.yaml"
23:23:49 | DEBUG | src/rules/pls_no_land.rs:46 | scanning 1 files for pls_no_land
23:23:49 | DEBUG | src/rules/if_change_then_change.rs:125 | scanning 1 files for if_change_then_change
23:23:49 | TRACE | src/rules/if_change_then_change.rs:55 | scanning contents of .trunk/trunk.yaml
23:23:49 | TRACE | src/rules/pls_no_land.rs:84 | scanning contents of .trunk/trunk.yaml
23:23:49 | TRACE | src/rules/never_edit.rs:28 | 'neveredit' is disabled
23:23:52 | DEBUG | src/main.rs:206 | logging initialized - "/tmp/trunk-1000/W0M4x6/log4rs.yaml"
23:23:52 | DEBUG | src/rules/pls_no_land.rs:46 | scanning 4 files for pls_no_land
23:23:52 | DEBUG | src/rules/if_change_then_change.rs:125 | scanning 4 files for if_change_then_change
23:23:52 | DEBUG | src/rules/pls_no_land.rs:70 | ignoring ignored file .trunk/config/toolbox.toml
23:23:52 | TRACE | src/rules/pls_no_land.rs:84 | scanning contents of .trunk/trunk.yaml
23:23:52 | TRACE | src/rules/pls_no_land.rs:84 | scanning contents of .trunk/config/log4rs.yaml
23:23:52 | TRACE | src/rules/pls_no_land.rs:84 | scanning contents of linters/trunk-toolbox/plugin.yaml
23:23:52 | TRACE | src/rules/if_change_then_change.rs:55 | scanning contents of .trunk/config/log4rs.yaml
23:23:52 | TRACE | src/rules/if_change_then_change.rs:55 | scanning contents of .trunk/config/toolbox.toml
23:23:52 | TRACE | src/rules/if_change_then_change.rs:55 | scanning contents of linters/trunk-toolbox/plugin.yaml
23:23:52 | TRACE | src/rules/if_change_then_change.rs:55 | scanning contents of .trunk/trunk.yaml
23:23:52 | TRACE | src/rules/never_edit.rs:28 | 'neveredit' is disabled
23:23:52 | DEBUG | src/main.rs:206 | logging initialized - "/tmp/trunk-1000/37ahSo/log4rs.yaml"
23:23:52 | DEBUG | src/rules/pls_no_land.rs:46 | scanning 2 files for pls_no_land
23:23:52 | DEBUG | src/rules/if_change_then_change.rs:125 | scanning 2 files for if_change_then_change
23:23:52 | TRACE | src/rules/pls_no_land.rs:84 | scanning contents of .trunk/trunk.yaml
23:23:52 | TRACE | src/rules/pls_no_land.rs:84 | scanning contents of linters/trunk-toolbox/plugin.yaml
23:23:52 | TRACE | src/rules/if_change_then_change.rs:55 | scanning contents of linters/trunk-toolbox/plugin.yaml
23:23:52 | TRACE | src/rules/if_change_then_change.rs:55 | scanning contents of .trunk/trunk.yaml
23:23:52 | TRACE | src/rules/never_edit.rs:28 | 'neveredit' is disabled
